target_id,pref_name,organism,target_type_id,n_compounds
CHEMBL1075050,Dipeptidyl peptidase 1,Bos taurus,SINGLE PROTEIN,2
CHEMBL1075051,Dihydrofolate reductase,Bos taurus,SINGLE PROTEIN,146
CHEMBL1075053,Beta-lactoglobulin,Bos taurus,SINGLE PROTEIN,2
CHEMBL1075054,Low molecular weight phosphotyrosine protein phosphatase,Bos taurus,SINGLE PROTEIN,5
CHEMBL1075055,Beta-galactosidase,Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903),SINGLE PROTEIN,4
CHEMBL1075056,Lanosterol synthase,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),SINGLE PROTEIN,1
CHEMBL1075057,Strictosidine beta-glucosidase,Catharanthus roseus,SINGLE PROTEIN,9
CHEMBL1075058,Chemoattractant receptor-homologous molecule expressed on Th2 cells,Cavia porcellus,SINGLE PROTEIN,17
CHEMBL1075059,Sensor histidine kinase yycG,Bacillus subtilis (strain 168),SINGLE PROTEIN,2
CHEMBL1075060,Arginase-1,Bos taurus,SINGLE PROTEIN,2
CHEMBL1075061,Muscarinic receptor 2,Cavia porcellus,SINGLE PROTEIN,17
CHEMBL1075062,Thymidine kinase,Macacine herpesvirus 1,SINGLE PROTEIN,13
CHEMBL1075063,Gil1,Citrobacter gillenii,SINGLE PROTEIN,14
CHEMBL1075064,Botulinum neurotoxin type B,Clostridium botulinum,SINGLE PROTEIN,3
CHEMBL1075069,RmtA,Emericella nidulans,SINGLE PROTEIN,34
CHEMBL1075070,Proteinase K,Engyodontium album,SINGLE PROTEIN,1
CHEMBL1075071,Muscarinic receptor 4,Cavia porcellus,SINGLE PROTEIN,17
CHEMBL1075072,DNA-directed RNA polymerase,Enterobacteria phage T7,SINGLE PROTEIN,2
CHEMBL1075073,Beta-lactamase SCO-1,Escherichia coli,SINGLE PROTEIN,3
CHEMBL1075078,Geranyltranstransferase,Escherichia coli K-12,SINGLE PROTEIN,5
CHEMBL1075079,Cystathionine beta-lyase metC,Escherichia coli K-12,SINGLE PROTEIN,20
CHEMBL1075080,Oxygen-insensitive NAD(P)H nitroreductase,Escherichia coli K-12,SINGLE PROTEIN,2
CHEMBL1075081,SHV-5 extended spectrum beta-lactamase,Escherichia coli,SINGLE PROTEIN,2
CHEMBL1075087,S-adenosyl-L-methionine:delta24-sterol-C-methyltransferase,Glycine max,SINGLE PROTEIN,4
CHEMBL1075088,Cysteine synthase,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),SINGLE PROTEIN,5
CHEMBL1075089,Shikimate kinase,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),SINGLE PROTEIN,2
CHEMBL1075090,Nicotinic acetylcholine receptor alpha1 subunit,Heliothis virescens,SINGLE PROTEIN,4
CHEMBL1075091,Core antigen,Hepatitis B virus,SINGLE PROTEIN,2
CHEMBL1075092,Glycine receptor subunit alpha-3,Homo sapiens,SINGLE PROTEIN,9
CHEMBL1075095,"Acetolactate synthase catalytic subunit, mitochondrial",Saccharomyces cerevisiae S288c,SINGLE PROTEIN,9
CHEMBL1075097,Arginase-1,Homo sapiens,SINGLE PROTEIN,35
CHEMBL1075098,Insulin-like growth factor 1 receptor,Rattus norvegicus,SINGLE PROTEIN,1
CHEMBL1075100,Sialidase,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),SINGLE PROTEIN,15
CHEMBL1075101,G-protein coupled receptor 81,Homo sapiens,SINGLE PROTEIN,3
CHEMBL1075102,Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit alpha,Homo sapiens,SINGLE PROTEIN,7
CHEMBL1075103,"ATP synthase subunit beta, mitochondrial",Saccharomyces cerevisiae S288c,SINGLE PROTEIN,9
CHEMBL1075104,Leucine-rich repeat serine/threonine-protein kinase 2,Homo sapiens,SINGLE PROTEIN,538
CHEMBL1075105,Protein tyrosine phosphatase type IVA 2,Homo sapiens,SINGLE PROTEIN,1
CHEMBL1075108,Solute carrier family 12 member 5,Rattus norvegicus,SINGLE PROTEIN,53
CHEMBL1075109,Anthranilate synthase component 1,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),SINGLE PROTEIN,5
CHEMBL1075110,Sterol 14-alpha demethylase,Trypanosoma cruzi (strain CL Brener),SINGLE PROTEIN,1
CHEMBL1075111,Bombesin receptor subtype-3,Rattus norvegicus,SINGLE PROTEIN,39
CHEMBL1075112,G protein-coupled receptor 44,Rattus norvegicus,SINGLE PROTEIN,2
CHEMBL1075115,Dual specificity tyrosine-phosphorylation-regulated kinase 4,Homo sapiens,SINGLE PROTEIN,541
CHEMBL1075117,Microtubule-associated protein tau,Rattus norvegicus,SINGLE PROTEIN,3
CHEMBL1075121,Putative hydrolase RBBP9,Homo sapiens,SINGLE PROTEIN,8
CHEMBL1075125,Cytochrome P450 1A2,Rattus norvegicus,SINGLE PROTEIN,1
CHEMBL1075127,Baculoviral IAP repeat-containing protein 7,Homo sapiens,SINGLE PROTEIN,14
CHEMBL1075128,N1L,Vaccinia virus,SINGLE PROTEIN,12
CHEMBL1075130,Thymidine kinase,Ureaplasma parvum serovar 3 (strain ATCC 700970),SINGLE PROTEIN,12
CHEMBL1075131,Lactase-phlorizin hydrolase,Homo sapiens,SINGLE PROTEIN,5
CHEMBL1075132,"Heat shock protein 75 kDa, mitochondrial",Homo sapiens,SINGLE PROTEIN,2
CHEMBL1075133,G protein-coupled receptor kinase 7,Homo sapiens,SINGLE PROTEIN,74
CHEMBL1075134,Serine/threonine-protein kinase mTOR,Rattus norvegicus,SINGLE PROTEIN,30
CHEMBL1075135,Multidrug resistance protein 1a,Rattus norvegicus,SINGLE PROTEIN,3
CHEMBL1075137,Proteasome assembly chaperone 3,Homo sapiens,SINGLE PROTEIN,1
CHEMBL1075138,Tyrosyl-DNA phosphodiesterase 1,Homo sapiens,SINGLE PROTEIN,83
CHEMBL1075140,Bombesin receptor subtype-3,Mus musculus,SINGLE PROTEIN,150
CHEMBL1075144,Neuromedin-U receptor 2,Homo sapiens,SINGLE PROTEIN,4
CHEMBL1075145,Transitional endoplasmic reticulum ATPase,Homo sapiens,SINGLE PROTEIN,209
CHEMBL1075146,Pseudolysin,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),SINGLE PROTEIN,43
CHEMBL1075149,Cystine/glutamate transporter,Homo sapiens,SINGLE PROTEIN,13
CHEMBL1075150,Peroxisome proliferator activated receptor alpha,Mesocricetus auratus,SINGLE PROTEIN,1
CHEMBL1075151,Phospho-N-acetylmuramoyl-pentapeptide-transferase,Bacillus subtilis (strain 168),SINGLE PROTEIN,10
CHEMBL1075152,Glucokinase regulatory protein,Homo sapiens,SINGLE PROTEIN,2
CHEMBL1075155,Serine/threonine-protein kinase 38,Homo sapiens,SINGLE PROTEIN,73
CHEMBL1075158,Testosterone 17-beta-dehydrogenase 3,Rattus norvegicus,SINGLE PROTEIN,7
CHEMBL1075159,Beta-lactamase,Acinetobacter baumannii,SINGLE PROTEIN,11
CHEMBL1075162,Uracil nucleotide/cysteinyl leukotriene receptor,Homo sapiens,SINGLE PROTEIN,10
CHEMBL1075163,Serine/threonine-protein kinase haspin,Homo sapiens,SINGLE PROTEIN,23
CHEMBL1075164,DNA topoisomerase 1,Rattus norvegicus,SINGLE PROTEIN,1
CHEMBL1075165,Phosphatidylinositol 3-kinase catalytic subunit type 3,Homo sapiens,SINGLE PROTEIN,45
CHEMBL1075166,Beta-adrenergic receptor kinase 2,Homo sapiens,SINGLE PROTEIN,1
CHEMBL1075167,Homeodomain-interacting protein kinase 4,Homo sapiens,SINGLE PROTEIN,664
CHEMBL1075169,Protein tyrosine phosphatase type IVA 1,Homo sapiens,SINGLE PROTEIN,11
CHEMBL1075170,Glutathione reductase homolog,Mycobacterium tuberculosis,SINGLE PROTEIN,1
CHEMBL1075172,C-X-C chemokine receptor type 3,Rattus norvegicus,SINGLE PROTEIN,16
CHEMBL1075173,Serine/threonine-protein kinase WNK1,Homo sapiens,SINGLE PROTEIN,3
CHEMBL1075174,Beta-lactamase SHV-5,Klebsiella pneumoniae,SINGLE PROTEIN,10
CHEMBL1075175,72 kDa type IV collagenase,Rattus norvegicus,SINGLE PROTEIN,9
CHEMBL1075176,Isochorismate synthase entC,Escherichia coli K-12,SINGLE PROTEIN,1
CHEMBL1075177,"6,7-dimethyl-8-ribityllumazine synthase",Mycobacterium tuberculosis,SINGLE PROTEIN,8
CHEMBL1075178,Neuromedin-U receptor 1,Homo sapiens,SINGLE PROTEIN,4
CHEMBL1075179,Seminal ribonuclease,Bos taurus,SINGLE PROTEIN,3
CHEMBL1075181,Pyridoxal kinase,Homo sapiens,SINGLE PROTEIN,4
CHEMBL1075183,Potassium channel subfamily K member 2,Bos taurus,SINGLE PROTEIN,1
CHEMBL1075186,CXC chemokine receptor 3,Macaca mulatta,SINGLE PROTEIN,1
CHEMBL1075188,Integrin alpha-L,Mus musculus,SINGLE PROTEIN,6
CHEMBL1075189,Pyruvate kinase isozymes M1/M2,Homo sapiens,SINGLE PROTEIN,79
CHEMBL1075190,L-asparaginase,Erwinia chrysanthemi,SINGLE PROTEIN,3
CHEMBL1075191,Dynamin-1,Rattus norvegicus,SINGLE PROTEIN,4
CHEMBL1075192,Succinyl-diaminopimelate desuccinylase,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),SINGLE PROTEIN,10
CHEMBL1075193,Metacaspase,Trypanosoma brucei,SINGLE PROTEIN,19
CHEMBL1075194,C-X-C chemokine receptor type 3,Canis lupus familiaris,SINGLE PROTEIN,1
CHEMBL1075195,Serine/threonine-protein kinase TAO2,Homo sapiens,SINGLE PROTEIN,73
CHEMBL1075198,C-X-C chemokine receptor type 2,Oryctolagus cuniculus,SINGLE PROTEIN,6
CHEMBL1075199,Glyceraldehyde-3-phosphate dehydrogenase,Oryctolagus cuniculus,SINGLE PROTEIN,2
CHEMBL1075200,Potassium voltage-gated channel subfamily E member 1,Oryctolagus cuniculus,SINGLE PROTEIN,1
CHEMBL1075201,Creatine kinase M-type,Oryctolagus cuniculus,SINGLE PROTEIN,1
CHEMBL1075203,Probable thymidylate synthase,Paramecium bursaria Chlorella virus 1,SINGLE PROTEIN,5
CHEMBL1075204,Lanosterol synthase,Pneumocystis carinii,SINGLE PROTEIN,4
CHEMBL1075205,Exoenzyme S synthesis regulatory protein exsA,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),SINGLE PROTEIN,21
CHEMBL1075207,Transcriptional activator protein lasR,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),SINGLE PROTEIN,26
CHEMBL1075208,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),SINGLE PROTEIN,9
CHEMBL1075209,Heme oxygenase,Pseudomonas aeruginosa,SINGLE PROTEIN,7
CHEMBL1075212,Aminoglycoside 3'-phosphotransferase type IIb,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),SINGLE PROTEIN,5
CHEMBL1075213,PhzR,Pseudomonas aeruginosa,SINGLE PROTEIN,10
CHEMBL1075214,5'-nucleotidase,Rattus norvegicus,SINGLE PROTEIN,44
CHEMBL1075217,Cathepsin S,Rattus norvegicus,SINGLE PROTEIN,10
CHEMBL1075219,Peroxisomal multifunctional enzyme type 2,Rattus norvegicus,SINGLE PROTEIN,4
CHEMBL1075220,Dehydrogenase/reductase SDR family member 9,Rattus norvegicus,SINGLE PROTEIN,8
CHEMBL1075221,3-alpha-hydroxysteroid dehydrogenase,Rattus norvegicus,SINGLE PROTEIN,7
CHEMBL1075223,G-protein coupled bile acid receptor 1,Rattus norvegicus,SINGLE PROTEIN,3
CHEMBL1075226,Potassium voltage-gated channel subfamily B member 1,Rattus norvegicus,SINGLE PROTEIN,4
CHEMBL1075227,Potassium voltage-gated channel subfamily D member 2,Rattus norvegicus,SINGLE PROTEIN,6
CHEMBL1075228,Melanin-concentrating hormone receptor 1,Rattus norvegicus,SINGLE PROTEIN,212
CHEMBL1075230,"Nitric oxide synthase, endothelial",Rattus norvegicus,SINGLE PROTEIN,8
CHEMBL1075232,Orexin receptor 1,Rattus norvegicus,SINGLE PROTEIN,1
CHEMBL1075233,Pituitary adenylate cyclase-activating polypeptide type I receptor,Rattus norvegicus,SINGLE PROTEIN,1
CHEMBL1075234,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",Rattus norvegicus,SINGLE PROTEIN,9
CHEMBL1075237,Nucleoside triphosphate diphosphohydrolase 3,Rattus norvegicus,SINGLE PROTEIN,4
CHEMBL1075238,Solute carrier family 22 member 5,Rattus norvegicus,SINGLE PROTEIN,4
CHEMBL1075239,Solute carrier family 22 member 12,Rattus norvegicus,SINGLE PROTEIN,1
CHEMBL1075244,Thymidine phosphorylase,Rattus norvegicus,SINGLE PROTEIN,10
CHEMBL1075245,Urokinase-type plasminogen activator,Rattus norvegicus,SINGLE PROTEIN,2
CHEMBL1075246,Xanthine dehydrogenase/oxidase,Rattus norvegicus,SINGLE PROTEIN,31
CHEMBL1075247,Benzalacetone synthase,Rheum palmatum,SINGLE PROTEIN,1
CHEMBL1075248,"Glucoamylase, intracellular sporulation-specific",Saccharomyces cerevisiae S288c,SINGLE PROTEIN,5
CHEMBL1075249,Glucose-6-phosphate 1-dehydrogenase,Saccharomyces cerevisiae S288c,SINGLE PROTEIN,6
CHEMBL1075251,Geranylgeranyl pyrophosphate synthase,Saccharomyces cerevisiae S288c,SINGLE PROTEIN,9
CHEMBL1075252,"Homoisocitrate dehydrogenase, mitochondrial",Saccharomyces cerevisiae S288c,SINGLE PROTEIN,14
CHEMBL1075253,"Leucyl-tRNA synthetase, cytoplasmic",Saccharomyces cerevisiae S288c,SINGLE PROTEIN,7
CHEMBL1075255,Casein kinase II subunit alpha,Schizosaccharomyces pombe 972h-,SINGLE PROTEIN,1
CHEMBL1075256,Proline iminopeptidase,Serratia marcescens,SINGLE PROTEIN,1
CHEMBL1075257,Large T antigen,Simian virus 40,SINGLE PROTEIN,205
CHEMBL1075261,Legumain-like protease,Ixodes ricinus,SINGLE PROTEIN,42
CHEMBL1075262,C-C chemokine receptor type 3,Macaca fascicularis,SINGLE PROTEIN,1
CHEMBL1075263,C-C chemokine receptor type 5,Macaca fascicularis,SINGLE PROTEIN,18
CHEMBL1075264,Isocitrate lyase,Magnaporthe oryzae (strain 70-15 / FGSC 8958) (Rice blast fungus)(Pyricularia oryzae),SINGLE PROTEIN,4
CHEMBL1075266,Juvenile hormone esterase,Manduca sexta,SINGLE PROTEIN,2
CHEMBL1075267,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Mesocricetus auratus,SINGLE PROTEIN,13
CHEMBL1075268,Serotonin 6 (5-HT6) receptor,Mus musculus,SINGLE PROTEIN,2
CHEMBL1075269,Adenosine A3 receptor,Mus musculus,SINGLE PROTEIN,34
CHEMBL1075270,Aldo-keto reductase family 1 member C21,Mus musculus,SINGLE PROTEIN,5
CHEMBL1075271,Serum albumin,Mus musculus,SINGLE PROTEIN,1
CHEMBL1075272,Methionine aminopeptidase 2,Mus musculus,SINGLE PROTEIN,3
CHEMBL1075275,Serine/threonine-protein kinase 12,Mus musculus,SINGLE PROTEIN,1
CHEMBL1075276,Caspase-4,Mus musculus,SINGLE PROTEIN,1
CHEMBL1075277,Cathepsin K,Mus musculus,SINGLE PROTEIN,10
CHEMBL1075279,B-cell receptor CD22,Mus musculus,SINGLE PROTEIN,11
CHEMBL1075280,Dual specificity protein kinase CLK1,Mus musculus,SINGLE PROTEIN,67
CHEMBL1075281,Dual specificity protein kinase CLK2,Mus musculus,SINGLE PROTEIN,4
CHEMBL1075282,Dual specificity protein kinase CLK3,Mus musculus,SINGLE PROTEIN,40
CHEMBL1075283,Dual specificity protein kinase CLK4,Mus musculus,SINGLE PROTEIN,4
CHEMBL1075284,Diacylglycerol O-acyltransferase 1,Mus musculus,SINGLE PROTEIN,60
CHEMBL1075286,CAAX prenyl protease 1 homolog,Mus musculus,SINGLE PROTEIN,2
CHEMBL1075289,Protein-tyrosine kinase 2-beta,Mus musculus,SINGLE PROTEIN,18
CHEMBL1075290,Glucagon-like peptide 1 receptor,Mus musculus,SINGLE PROTEIN,2
CHEMBL1075292,Transcription factor HES-1,Mus musculus,SINGLE PROTEIN,6
CHEMBL1075294,"Indoleamine 2,3-dioxygenase 1",Mus musculus,SINGLE PROTEIN,50
CHEMBL1075295,Protein kinase C theta type,Mus musculus,SINGLE PROTEIN,4
CHEMBL1075296,Niemann-Pick C1-like protein 1,Mus musculus,SINGLE PROTEIN,2
CHEMBL1075298,Purinergic receptor P2Y2,Mus musculus,SINGLE PROTEIN,23
CHEMBL1075299,Plasminogen,Mus musculus,SINGLE PROTEIN,2
CHEMBL1075300,Parathyroid hormone receptor,Mus musculus,SINGLE PROTEIN,1
CHEMBL1075302,Sodium/glucose cotransporter 2,Mus musculus,SINGLE PROTEIN,24
CHEMBL1075303,Sodium- and chloride-dependent glycine transporter 1,Mus musculus,SINGLE PROTEIN,6
CHEMBL1075305,Sphingosine kinase 2,Mus musculus,SINGLE PROTEIN,36
CHEMBL1075306,Serine racemase,Mus musculus,SINGLE PROTEIN,3
CHEMBL1075307,"Tryptophan 2,3-dioxygenase",Mus musculus,SINGLE PROTEIN,84
CHEMBL1075308,Thrombin,Mus musculus,SINGLE PROTEIN,2
CHEMBL1075310,Transient receptor potential cation channel subfamily A member 1,Mus musculus,SINGLE PROTEIN,11
CHEMBL1075311,Urokinase-type plasminogen activator,Mus musculus,SINGLE PROTEIN,2
CHEMBL1075313,Hemagglutinin,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),SINGLE PROTEIN,7
CHEMBL1075315,C-X-C chemokine receptor type 5,Homo sapiens,SINGLE PROTEIN,19
CHEMBL1075316,Extracellular calcium-sensing receptor,Bos taurus,SINGLE PROTEIN,1
CHEMBL1075317,WD repeat-containing protein 5,Homo sapiens,SINGLE PROTEIN,69
CHEMBL1075319,Transient receptor potential cation channel subfamily M member 8,Homo sapiens,SINGLE PROTEIN,18
CHEMBL1075320,Nicotinate-nucleotide adenylyltransferase,Bacillus anthracis,SINGLE PROTEIN,7
CHEMBL1075321,Glycogen synthase kinase-3 beta,Mus musculus,SINGLE PROTEIN,10
CHEMBL1075322,G-protein coupled receptor 55,Homo sapiens,SINGLE PROTEIN,666
CHEMBL1075323,Endoplasmin,Homo sapiens,SINGLE PROTEIN,2
CHEMBL1163101,Serine/threonine-protein kinase/endoribonuclease IRE1,Homo sapiens,SINGLE PROTEIN,74
CHEMBL1163102,Probable alpha-glucosidase Os06g0675700,Oryza sativa Japonica Group,SINGLE PROTEIN,13
CHEMBL1163103,Urotensin-2,Rattus norvegicus,SINGLE PROTEIN,1
CHEMBL1163104,Serine/threonine-protein kinase OSR1,Homo sapiens,SINGLE PROTEIN,73
CHEMBL1163106,Serine/threonine-protein kinase MAK,Homo sapiens,SINGLE PROTEIN,73
CHEMBL1163107,Urotensin-2,Macaca mulatta,SINGLE PROTEIN,1
CHEMBL1163108,STE20/SPS1-related proline-alanine-rich protein kinase,Homo sapiens,SINGLE PROTEIN,73
CHEMBL1163109,Multidrug resistance protein CDR1,Candida albicans,SINGLE PROTEIN,3
CHEMBL1163111,Interleukin-5,Mus musculus,SINGLE PROTEIN,72
CHEMBL1163112,Cyclin-dependent kinase-like 5,Homo sapiens,SINGLE PROTEIN,74
CHEMBL1163113,Serpin H1,Mus musculus,SINGLE PROTEIN,42
CHEMBL1163115,Urotensin-2,Mus musculus,SINGLE PROTEIN,1
CHEMBL1163116,Cholesteryl ester transfer protein,Oryctolagus cuniculus,SINGLE PROTEIN,121
CHEMBL1163117,Cyclin-dependent kinase-like 3,Homo sapiens,SINGLE PROTEIN,73
CHEMBL1163119,U4/U6 small nuclear ribonucleoprotein Prp4,Homo sapiens,SINGLE PROTEIN,7
CHEMBL1163120,Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit gamma,Homo sapiens,SINGLE PROTEIN,75
CHEMBL1163121,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Schizosaccharomyces pombe 972h-,SINGLE PROTEIN,9
CHEMBL1163122,Angiotensin type II receptor,Sus scrofa,SINGLE PROTEIN,27
CHEMBL1163123,Mitogen-activated protein kinase kinase kinase 6,Homo sapiens,SINGLE PROTEIN,74
CHEMBL1163124,Mitogen-activated protein kinase kinase kinase 13,Homo sapiens,SINGLE PROTEIN,73
CHEMBL1163125,Bromodomain-containing protein 4,Homo sapiens,SINGLE PROTEIN,127
CHEMBL1163126,Serine/threonine-protein kinase ICK,Homo sapiens,SINGLE PROTEIN,74
CHEMBL1163127,Mitogen-activated protein kinase kinase kinase 15,Homo sapiens,SINGLE PROTEIN,73
CHEMBL1163128,Microtubule-associated serine/threonine-protein kinase 1,Homo sapiens,SINGLE PROTEIN,73
CHEMBL1163129,Serine/threonine-protein kinase SBK1,Homo sapiens,SINGLE PROTEIN,72
CHEMBL1163130,Bifunctional dihydrofolate reductase-thymidylate synthase,Trypanosoma cruzi,SINGLE PROTEIN,7
CHEMBL1169593,Beta-lactamase,Aeromonas hydrophila,SINGLE PROTEIN,15
CHEMBL1169594,Purine nucleoside phosphorylase,Mycobacterium tuberculosis,SINGLE PROTEIN,4
CHEMBL1169595,UDP-galactose 4-epimerase,Trypanosoma brucei,SINGLE PROTEIN,14
CHEMBL1169596,Serine/threonine-protein kinase A-Raf,Homo sapiens,SINGLE PROTEIN,1
CHEMBL1169597,"6-phosphogluconate dehydrogenase, decarboxylating",Ovis aries,SINGLE PROTEIN,5
CHEMBL1169598,Polymerase acidic protein,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),SINGLE PROTEIN,88
CHEMBL1169599,Metastin receptor,Rattus norvegicus,SINGLE PROTEIN,23
CHEMBL1169600,Interleukin-5,Homo sapiens,SINGLE PROTEIN,1
CHEMBL1250341,Beta-lactamase GES-13,Pseudomonas aeruginosa,SINGLE PROTEIN,10
CHEMBL1250342,Deoxyribonuclease-2-alpha,Homo sapiens,SINGLE PROTEIN,1
CHEMBL1250343,Serine palmitoyltransferase 1,Homo sapiens,SINGLE PROTEIN,1
CHEMBL1250344,Serine palmitoyltransferase 2,Homo sapiens,SINGLE PROTEIN,1
CHEMBL1250346,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Escherichia coli O157:H7,SINGLE PROTEIN,2
CHEMBL1250348,Myc proto-oncogene protein,Homo sapiens,SINGLE PROTEIN,4
CHEMBL1250350,Prolyl 4-hydroxylase subunit alpha-1,Homo sapiens,SINGLE PROTEIN,3
CHEMBL1250353,Phosphate system positive regulatory protein PHO81,Saccharomyces cerevisiae S288c,SINGLE PROTEIN,1
CHEMBL1250358,Tumor necrosis factor receptor superfamily member 5,Homo sapiens,SINGLE PROTEIN,3
CHEMBL1250363,Protein max,Homo sapiens,SINGLE PROTEIN,1
CHEMBL1250364,Histidine triad nucleotide-binding protein 1,Mus musculus,SINGLE PROTEIN,1
CHEMBL1250365,C-X-C chemokine receptor type 4,Mus musculus,SINGLE PROTEIN,1
CHEMBL1250366,C-X-C chemokine receptor type 4,Macaca mulatta,SINGLE PROTEIN,1
CHEMBL1250368,Enoyl-acyl carrier reductase,Toxoplasma gondii,SINGLE PROTEIN,31
CHEMBL1250374,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),SINGLE PROTEIN,9
CHEMBL1250375,NADPH oxidase 4,Homo sapiens,SINGLE PROTEIN,110
CHEMBL1250378,Splicing factor 3B subunit 3,Homo sapiens,SINGLE PROTEIN,13
CHEMBL1250379,ELAV-like protein 1,Homo sapiens,SINGLE PROTEIN,3
CHEMBL1250381,Dual specificity protein phosphatase 6,Homo sapiens,SINGLE PROTEIN,31
CHEMBL1250401,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,Mus musculus,SINGLE PROTEIN,8
CHEMBL1250403,Ecdysone receptor,Lucilia cuprina,SINGLE PROTEIN,21
CHEMBL1250404,Cytochrome c oxidase subunit 2,Ovis aries,SINGLE PROTEIN,8
CHEMBL1250405,B1 bradykinin receptor,Macaca mulatta,SINGLE PROTEIN,1
CHEMBL1250407,Bradykinin B1 receptor,Mus musculus,SINGLE PROTEIN,13
CHEMBL1250408,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,Mus musculus,SINGLE PROTEIN,8
CHEMBL1250413,CAAX prenyl protease 2,Saccharomyces cerevisiae S288c,SINGLE PROTEIN,2
CHEMBL1250416,Myelin-associated glycoprotein,Mus musculus,SINGLE PROTEIN,22
